Ride,Date-Time,Wait Time
Pirates of the Caribbean,2019-01-28 9:08,5
Pirates of the Caribbean,2019-01-28 9:32,5
Pirates of the Caribbean,2019-01-28 9:53,25
Pirates of the Caribbean,2019-01-28 10:21,15
Pirates of the Caribbean,2019-01-28 10:42,25
Pirates of the Caribbean,2019-01-28 10:55,35
Pirates of the Caribbean,2019-01-28 11:12,45
Pirates of the Caribbean,2019-01-28 11:34,45
Pirates of the Caribbean,2019-01-28 11:44,70
Pirates of the Caribbean,2019-01-28 11:57,75
Pirates of the Caribbean,2019-01-28 12:13,60
Pirates of the Caribbean,2019-01-28 12:31,35
Pirates of the Caribbean,2019-01-28 12:38,35
Pirates of the Caribbean,2019-01-28 12:47,60
Pirates of the Caribbean,2019-01-28 12:48,60
Pirates of the Caribbean,2019-01-28 12:49,60
Pirates of the Caribbean,2019-01-28 12:50,60
Pirates of the Caribbean,2019-01-28 13:00,60
Pirates of the Caribbean,2019-01-28 13:04,45
Pirates of the Caribbean,2019-01-28 13:10,45
Pirates of the Caribbean,2019-01-28 13:20,55
Pirates of the Caribbean,2019-01-28 13:30,50
Pirates of the Caribbean,2019-01-28 13:40,55
Pirates of the Caribbean,2019-01-28 13:50,50
Pirates of the Caribbean,2019-01-28 14:00,50
Pirates of the Caribbean,2019-01-28 14:10,45
Pirates of the Caribbean,2019-01-28 14:20,35
Pirates of the Caribbean,2019-01-28 14:30,45
Pirates of the Caribbean,2019-01-28 14:40,45
Pirates of the Caribbean,2019-01-28 14:50,45
Pirates of the Caribbean,2019-01-28 15:00,45
Pirates of the Caribbean,2019-01-28 15:10,45
Pirates of the Caribbean,2019-01-28 15:20,35
Pirates of the Caribbean,2019-01-28 15:30,35
Pirates of the Caribbean,2019-01-28 15:40,40
Pirates of the Caribbean,2019-01-28 15:50,45
Pirates of the Caribbean,2019-01-28 16:00,50
Pirates of the Caribbean,2019-01-28 16:10,50
Pirates of the Caribbean,2019-01-28 16:20,45
Pirates of the Caribbean,2019-01-28 16:30,35
Pirates of the Caribbean,2019-01-28 16:40,35
Pirates of the Caribbean,2019-01-28 16:50,35
Pirates of the Caribbean,2019-01-28 17:00,35
Pirates of the Caribbean,2019-01-28 17:10,45
Pirates of the Caribbean,2019-01-28 17:20,45
Pirates of the Caribbean,2019-01-28 17:30,40
Pirates of the Caribbean,2019-01-28 17:40,35
Pirates of the Caribbean,2019-01-28 17:50,30
Pirates of the Caribbean,2019-01-28 18:00,35
Pirates of the Caribbean,2019-01-28 18:10,35
Pirates of the Caribbean,2019-01-28 18:20,45
Pirates of the Caribbean,2019-01-28 19:10,45
Pirates of the Caribbean,2019-01-28 19:20,5
Pirates of the Caribbean,2019-01-28 19:30,10
Pirates of the Caribbean,2019-01-28 19:40,5
Pirates of the Caribbean,2019-01-28 19:50,5
Pirates of the Caribbean,2019-01-28 20:00,5
Pirates of the Caribbean,2019-01-28 20:10,5
Pirates of the Caribbean,2019-01-28 20:20,5
Pirates of the Caribbean,2019-01-28 20:30,10
Pirates of the Caribbean,2019-01-28 20:40,5
Pirates of the Caribbean,2019-01-28 20:50,5
Pirates of the Caribbean,2019-01-28 21:00,5
Pirates of the Caribbean,2019-01-28 21:10,5
Pirates of the Caribbean,2019-01-28 21:20,5
Pirates of the Caribbean,2019-01-28 21:30,5
Pirates of the Caribbean,2019-01-28 21:40,5
Pirates of the Caribbean,2019-01-28 21:50,5
Pirates of the Caribbean,2019-01-28 22:00,5
Pirates of the Caribbean,2019-01-28 22:10,5
Pirates of the Caribbean,2019-01-28 22:20,5
Pirates of the Caribbean,2019-01-28 22:30,5
Pirates of the Caribbean,2019-01-28 22:40,5
Pirates of the Caribbean,2019-01-28 22:50,5
Pirates of the Caribbean,2019-01-28 23:00,5
Pirates of the Caribbean,2019-01-29 9:10,10
Pirates of the Caribbean,2019-01-29 9:20,5
Pirates of the Caribbean,2019-01-29 9:30,5
Pirates of the Caribbean,2019-01-29 9:40,5
Pirates of the Caribbean,2019-01-29 9:50,5
Pirates of the Caribbean,2019-01-29 10:00,10
Pirates of the Caribbean,2019-01-29 10:10,10
Pirates of the Caribbean,2019-01-29 10:20,35
Pirates of the Caribbean,2019-01-29 10:30,30
Pirates of the Caribbean,2019-01-29 10:40,30
Pirates of the Caribbean,2019-01-29 10:50,40
